name,oracle_text,oracleid,tag,type_line
Natural State,Destroy target artifact or enchantment with converted mana cost 3 or less.,f500f4cc-d5ee-4995-b7b5-96a5f63dfb47,removal,Instant
Nature's Chant,Destroy target artifact or enchantment.,46e4ace2-e8bf-4b72-81de-286215886a10,removal,Instant
Nature's Claim,Destroy target artifact or enchantment. Its controller gains 4 life.,6d4e558e-9109-4918-a082-fdcbaffd516b,removal,Instant
Nature's Way,Target creature you control gains vigilance and trample until end of turn. It deals damage equal to its power to target creature you don't control.,8c04663a-1023-49a5-a0b9-78f24a72fb1e,removal,Sorcery
Naya Charm,"Choose one —
• Naya Charm deals 3 damage to target creature.
• Return target card from a graveyard to its owner's hand.
• Tap all creatures target player controls.",20cc0f3e-de69-4e5f-88b3-ae7e6c6b5996,removal,Instant
Neck Snap,Destroy target attacking or blocking creature.,b8ad4276-759d-4d22-a47e-bd27edb34bff,removal,Instant
Necrite,"Whenever Necrite attacks and isn't blocked, you may sacrifice it. If you do, destroy target creature defending player controls. It can't be regenerated.",e6ab8a04-e225-4ff0-bb8b-c80d0e6ce50c,removal,Creature — Thrull
Necrobite,"Target creature gains deathtouch until end of turn. Regenerate it. (The next time that creature would be destroyed this turn, it isn't. Instead tap it, remove all damage from it, and remove it from combat. Any amount of damage a creature with deathtouch deals to a creature is enough to destroy it.)",d2a3e219-08f3-4c05-b239-abf80a1c1c6b,removal,Instant
Necropede,"Infect (This creature deals damage to creatures in the form of -1/-1 counters and to players in the form of poison counters.)
When Necropede dies, you may put a -1/-1 counter on target creature.",e5021798-1f3d-42ed-be88-e76349ef46c6,removal,Artifact Creature — Insect
Necrotic Plague,"Enchant creature
Enchanted creature has ""At the beginning of your upkeep, sacrifice this creature.""
When enchanted creature dies, its controller chooses target creature one of their opponents controls. Return Necrotic Plague from its owner's graveyard to the battlefield attached to that creature.",9d637892-26d7-46f1-bd7d-89bda523f649,removal,Enchantment — Aura
Necrotic Sliver,"All Slivers have ""{3}, Sacrifice this permanent: Destroy target permanent.""",9655569d-bfa5-4665-9371-9f275b8d223e,removal,Creature — Sliver
Necrotic Wound,"Undergrowth — Target creature gets -X/-X until end of turn, where X is the number of creature cards in your graveyard. If that creature would die this turn, exile it instead.",a30159ae-f6a6-4e29-bca2-769d3657d310,removal,Instant
Needletooth Raptor,"Enrage — Whenever Needletooth Raptor is dealt damage, it deals 5 damage to target creature an opponent controls.",2c431df9-095a-44f1-993e-74eb215d75fe,removal,Creature — Dinosaur
Nekrataal,"First strike
When Nekrataal enters the battlefield, destroy target nonartifact, nonblack creature. That creature can't be regenerated.",d40adf5d-5edf-48a0-98f3-fcdbf1b5f25c,removal,Creature — Human Assassin
Nemesis Trap,"If a white creature is attacking, you may pay {B}{B} rather than pay this spell's mana cost.
Exile target attacking creature. Create a token that's a copy of that creature. Exile it at the beginning of the next end step.",1c6f95fd-f8d0-4d22-aa21-29e5c70b2f85,removal,Instant — Trap
Nephalia Smuggler,"{3}{U}, {T}: Exile another target creature you control, then return that card to the battlefield under your control.",f96a2aa6-3259-4bb6-92cd-4d17215d04d0,removal,Creature — Human Rogue
Nessian Demolok,"Tribute 3 (As this creature enters the battlefield, an opponent of your choice may put three +1/+1 counters on it.)
When Nessian Demolok enters the battlefield, if tribute wasn't paid, destroy target noncreature permanent.",2341b59b-ce46-4efe-be94-c3851d3cd9e8,removal,Creature — Beast
Nessian Wilds Ravager,"Tribute 6 (As this creature enters the battlefield, an opponent of your choice may put six +1/+1 counters on it.)
When Nessian Wilds Ravager enters the battlefield, if tribute wasn't paid, you may have Nessian Wilds Ravager fight another target creature. (Each deals damage equal to its power to the other.)",fa1a5797-3076-48a4-b64b-ce3dfe2a3e7b,removal,Creature — Hydra
Neurok Replica,"{1}{U}, Sacrifice Neurok Replica: Return target creature to its owner's hand.",de8cdbd4-d8f7-4ce8-a69b-6d2020beff63,removal,Artifact Creature — Wizard
"Nicol Bolas, Dragon-God","Nicol Bolas, Dragon-God has all loyalty abilities of all other planeswalkers on the battlefield.
+1: You draw a card. Each opponent exiles a card from their hand or a permanent they control.
−3: Destroy target creature or planeswalker.
−8: Each opponent who doesn't control a legendary creature or planeswalker loses the game.",581eedc4-efe4-4ae4-baf2-88071e7e6f6d,removal,Legendary Planeswalker — Bolas
"Nicol Bolas, Planeswalker","+3: Destroy target noncreature permanent.
−2: Gain control of target creature.
−9: Nicol Bolas, Planeswalker deals 7 damage to target player or planeswalker. That player or that planeswalker's controller discards seven cards, then sacrifices seven permanents.",05e9b55e-6329-48ec-b7d7-24c6b9692244,removal,Legendary Planeswalker — Bolas
Nightmarish End,"Target creature gets -X/-X until end of turn, where X is the number of cards in your hand.",70f5e932-0dc5-4c34-b7be-16cd80ec10b7,removal,Instant
Nightscape Battlemage,"Kicker {2}{U} and/or {2}{R} (You may pay an additional {2}{U} and/or {2}{R} as you cast this spell.)
When Nightscape Battlemage enters the battlefield, if it was kicked with its {2}{U} kicker, return up to two target nonblack creatures to their owners' hands.
When Nightscape Battlemage enters the battlefield, if it was kicked with its {2}{R} kicker, destroy target land.",e96e68b4-cb32-4b75-a885-e1781f4b74ab,removal,Creature — Zombie Wizard
Nightscape Master,"{U}{U}, {T}: Return target creature to its owner's hand.
{R}{R}, {T}: Nightscape Master deals 2 damage to target creature.",e5f9bd6b-0aa6-4f61-b101-ec194af6d632,removal,Creature — Zombie Wizard
Nightshade Assassin,"First strike
When Nightshade Assassin enters the battlefield, you may reveal X black cards in your hand. If you do, target creature gets -X/-X until end of turn.
Madness {1}{B} (If you discard this card, discard it into exile. When you do, cast it for its madness cost or put it into your graveyard.)",370c5e5f-709b-415b-9b65-3f224d6ef1c7,removal,Creature — Human Assassin
Nightshade Peddler,"Soulbond (You may pair this creature with another unpaired creature when either enters the battlefield. They remain paired for as long as you control both of them.)
As long as Nightshade Peddler is paired with another creature, both creatures have deathtouch.",afd6089a-38cc-4a0f-853b-94d6be2d4470,removal,Creature — Human Druid
Nikko-Onna,"When Nikko-Onna enters the battlefield, destroy target enchantment.
Whenever you cast a Spirit or Arcane spell, you may return Nikko-Onna to its owner's hand.",f5cf3f74-e497-46d0-acfb-3b57ee27a314,removal,Creature — Spirit
Nim Replica,"{2}{B}, Sacrifice Nim Replica: Target creature gets -1/-1 until end of turn.",68c3aa66-85f2-494c-8fb2-ad0348814506,removal,Artifact Creature — Zombie
Nissa's Defeat,"Destroy target Forest, green enchantment, or green planeswalker. If that permanent was a Nissa planeswalker, draw a card.",5f808e3b-6b69-4b46-8a92-36d960527acc,removal,Sorcery
Nissa's Judgment,"Support 2. (Put a +1/+1 counter on each of up to two target creatures.)
Choose up to one target creature an opponent controls. Each creature you control with a +1/+1 counter on it deals damage equal to its power to that creature.",14247820-5ecb-40bd-8dee-0625cc745ec2,removal,Sorcery
"Niv-Mizzet, the Firemind","Flying
Whenever you draw a card, Niv-Mizzet, the Firemind deals 1 damage to any target.
{T}: Draw a card.",959acb66-84ca-4535-bca2-ad591895735e,removal,Legendary Creature — Dragon Wizard
No Mercy,"Whenever a creature deals damage to you, destroy it.",b9538d53-480b-481a-abbf-83ab17e1a45b,removal,Enchantment
Northern Paladin,"{W}{W}, {T}: Destroy target black permanent.",f5975294-508a-453e-893a-2fbea2487d17,removal,Creature — Human Knight
Nosy Goblin,"{T}, Sacrifice Nosy Goblin: Destroy target face-down creature.",7bca544e-08d8-4e83-aa30-c7201a649a66,removal,Creature — Goblin
Noxious Dragon,"Flying
When Noxious Dragon dies, you may destroy target creature with converted mana cost 3 or less.",fe75b364-9e65-499d-9763-76844cf88cf7,removal,Creature — Dragon
Noxious Gearhulk,"Menace
When Noxious Gearhulk enters the battlefield, you may destroy another target creature. If a creature is destroyed this way, you gain life equal to its toughness.",a77b5be2-f361-4135-ba25-670a74d268ac,removal,Artifact Creature — Construct
Noxious Grasp,Destroy target creature or planeswalker that's green or white. You gain 1 life.,b17f4960-9603-4a81-8dc8-e09e8b822357,removal,Instant
Nullmage Advocate,{T}: Return two target cards from an opponent's graveyard to their hand. Destroy target artifact or enchantment.,558568a6-5e22-482f-9096-e76682965c21,removal,Creature — Insect Druid
Nullmage Shepherd,Tap four untapped creatures you control: Destroy target artifact or enchantment.,4dcfd397-9d29-420c-8fd8-c7c2a99de122,removal,Creature — Elf Shaman
Nyx Infusion,"Enchant creature
Enchanted creature gets +2/+2 as long as it's an enchantment. Otherwise, it gets -2/-2.",52e3bcc0-0c1f-4846-bf52-4af66b7abd6f,removal,Enchantment — Aura
Obelisk of Undoing,"{6}, {T}: Return target permanent you both own and control to your hand.",299ea6dd-79eb-4c25-a05d-ff6fcad663cf,removal,Artifact
Oblation,"The owner of target nonland permanent shuffles it into their library, then draws two cards.",860e744d-899c-43c7-84bb-d52c69d2f45a,removal,Instant
Oblivion Ring,"When Oblivion Ring enters the battlefield, exile another target nonland permanent.
When Oblivion Ring leaves the battlefield, return the exiled card to the battlefield under its owner's control.",bd9b9772-f5f9-4c6b-913e-7193bea5d0a7,removal,Enchantment
Oblivion Strike,"Devoid (This card has no color.)
Exile target creature.",ad3564f5-11f7-456b-8881-4db00a18a2ed,removal,Sorcery
Ob Nixilis Reignited,"+1: You draw a card and you lose 1 life.
−3: Destroy target creature.
−8: Target opponent gets an emblem with ""Whenever a player draws a card, you lose 2 life.""",65481ae1-54b2-44d2-91e1-20cd486386da,removal,Legendary Planeswalker — Nixilis
Ob Nixilis's Cruelty,"Target creature gets -5/-5 until end of turn. If that creature would die this turn, exile it instead.",c638957f-88bf-40c2-834c-2be39d73bf41,removal,Instant
"Odric, Master Tactician","First strike (This creature deals combat damage before creatures without first strike.)
Whenever Odric, Master Tactician and at least three other creatures attack, you choose which creatures block this combat and how those creatures block.",ade898df-14a5-460b-94f6-1f3f74d3ff95,removal,Legendary Creature — Human Soldier
Ogre Arsonist,"When Ogre Arsonist enters the battlefield, destroy target land.",00af96af-5eae-4044-a2f7-a08cd0699d1e,removal,Creature — Ogre
Ogre Gatecrasher,"When Ogre Gatecrasher enters the battlefield, destroy target creature with defender.",0b88bc94-99c4-4be5-b474-a7dad68057b3,removal,Creature — Ogre Rogue
Ogre Savant,"When Ogre Savant enters the battlefield, if {U} was spent to cast it, return target creature to its owner's hand.",2ce12817-a7b5-475a-87d0-718d77349a6d,removal,Creature — Ogre Wizard
Ohran Viper,"Whenever Ohran Viper deals combat damage to a creature, destroy that creature at end of combat.
Whenever Ohran Viper deals combat damage to a player, you may draw a card.",879fdcd8-62ea-4d39-abd4-44e6d82adf4d,removal,Snow Creature — Snake
"Oko, Thief of Crowns","+2: Create a Food token. (It's an artifact with ""{2}, {T}, Sacrifice this artifact: You gain 3 life."")
+1: Target artifact or creature loses all abilities and becomes a green Elk creature with base power and toughness 3/3.
−5: Exchange control of target artifact or creature you control and target creature an opponent controls with power 3 or less.",60c60923-ff1b-43f7-8768-731499fcffc9,removal,Legendary Planeswalker — Oko
Olivia Voldaren,"Flying
{1}{R}: Olivia Voldaren deals 1 damage to another target creature. That creature becomes a Vampire in addition to its other types. Put a +1/+1 counter on Olivia Voldaren.
{3}{B}{B}: Gain control of target Vampire for as long as you control Olivia Voldaren.",dd27d0f2-fe1e-4b63-9ba0-6264ca3c70f8,removal,Legendary Creature — Vampire
Omnibian,{T}: Target creature becomes a Frog with base power and toughness 3/3 until end of turn.,590a4c09-2d19-40db-8d0d-7765f3b63e38,removal,Creature — Frog
One Thousand Lashes,"Enchant creature
Enchanted creature can't attack or block, and its activated abilities can't be activated.
At the beginning of the upkeep of enchanted creature's controller, that player loses 1 life.",d3b259e9-f9c7-4830-91fa-6e3d9f4cc1e3,removal,Enchantment — Aura
On Thin Ice,"Enchant snow land you control
When On Thin Ice enters the battlefield, exile target creature an opponent controls until On Thin Ice leaves the battlefield.",6736bb96-6718-48bb-9385-789d3349dc20,removal,Snow Enchantment — Aura
Oppressive Rays,"Enchant creature
Enchanted creature can't attack or block unless its controller pays {3}.
Activated abilities of enchanted creature cost {3} more to activate.",4a17fb46-70db-4c9a-ac0e-dfc774345673,removal,Enchantment — Aura
Oran-Rief Recluse,"Kicker {2}{G} (You may pay an additional {2}{G} as you cast this spell.)
Reach (This creature can block creatures with flying.)
When Oran-Rief Recluse enters the battlefield, if it was kicked, destroy target creature with flying.",043fa53c-8a46-4fbd-836f-2403c62e0121,removal,Creature — Spider
Orcish Cannonade,"Orcish Cannonade deals 2 damage to any target and 3 damage to you.
Draw a card.",af224f6f-cedd-498f-a08e-7be0db5a11b7,removal,Instant
Orc Sureshot,"Whenever another creature enters the battlefield under your control, target creature an opponent controls gets -1/-1 until end of turn.",c56726a6-d424-46a0-b3b3-2b44fbcbc63a,removal,Creature — Orc Archer
Ore Gorger,"Whenever you cast a Spirit or Arcane spell, you may destroy target nonbasic land.",e5a9d34b-c7d4-4682-8e26-dd82e38ee84e,removal,Creature — Spirit
Orim's Thunder,"Kicker {R} (You may pay an additional {R} as you cast this spell.)
Destroy target artifact or enchantment. If this spell was kicked, it deals damage equal to that permanent's converted mana cost to target creature.",380429d5-82db-449c-b9b9-3e82ab987972,removal,Instant
Orzhov Charm,"Choose one —
• Return target creature you control and all Auras you control attached to it to their owner's hand.
• Destroy target creature and you lose life equal to its toughness.
• Return target creature card with converted mana cost 1 or less from your graveyard to the battlefield.",26f8626a-ce64-450c-bda5-833df2fbb4fb,removal,Instant
Orzhov Euthanist,"Haunt (When this creature dies, exile it haunting target creature.)
When Orzhov Euthanist enters the battlefield or the creature it haunts dies, destroy target creature that was dealt damage this turn.",3cc82a02-2906-4411-aebf-474b0735bb53,removal,Creature — Human Assassin
Otherworldly Journey,"Exile target creature. At the beginning of the next end step, return that card to the battlefield under its owner's control with a +1/+1 counter on it.",4a080242-412d-4968-ad57-2667dab977f5,removal,Instant — Arcane
Oubliette,"When Oubliette enters the battlefield, exile target creature and all Auras attached to it. Note the number and kind of counters that were on that creature.
When Oubliette leaves the battlefield, return that exiled card to the battlefield under its owner's control tapped with the noted number and kind of counters on it. If you do, return the other exiled cards to the battlefield under their owner's control attached to that permanent.",c753e9e3-9374-4e3c-8622-94576a8c1da3,removal,Enchantment
Ouphe Vandals,"{G}, Sacrifice Ouphe Vandals: Counter target activated ability from an artifact source and destroy that artifact if it's on the battlefield. (Mana abilities can't be targeted.)",7bee3848-24e2-4e12-a341-a759214308c0,removal,Creature — Ouphe Rogue
Oust,Put target creature into its owner's library second from the top. Its controller gains 3 life.,efc12fda-054b-466a-a863-06cf54878172,removal,Sorcery
Outnumber,Outnumber deals damage to target creature equal to the number of creatures you control.,b72efd67-a234-44af-8296-3e182292c7e6,removal,Instant
Overload,"Kicker {2} (You may pay an additional {2} as you cast this spell.)
Destroy target artifact if its converted mana cost is 2 or less. If this spell was kicked, destroy that artifact if its converted mana cost is 5 or less instead.",07159efc-c69f-4164-a8ca-9da641dbf702,removal,Instant
Overseer of the Damned,"Flying
When Overseer of the Damned enters the battlefield, you may destroy target creature.
Whenever a nontoken creature an opponent controls dies, create a tapped 2/2 black Zombie creature token.",c1f085ce-5b52-45b3-aef0-f77f36b3da36,removal,Creature — Demon
Ovinize,"Until end of turn, target creature loses all abilities and has base power and toughness 0/1.",98799336-a61e-4e35-ac30-51edb81301f6,removal,Instant
Ovinomancer,"When Ovinomancer enters the battlefield, sacrifice it unless you return three basic lands you control to their owner's hand.
{T}, Return Ovinomancer to its owner's hand: Destroy target creature. It can't be regenerated. That creature's controller creates a 0/1 green Sheep creature token.",98026d30-a29f-4590-968f-b1b36926a275,removal,Creature — Human Wizard
Oxidda Scrapmelter,"When Oxidda Scrapmelter enters the battlefield, destroy target artifact.",cef64ec6-cdfb-42a4-9a4a-3ef5448e93fc,removal,Creature — Beast
Oxidize,Destroy target artifact. It can't be regenerated.,0ff78353-a26e-4b5a-948d-1c3b41d2dd1f,removal,Instant
Pacifism,"Enchant creature
Enchanted creature can't attack or block.",5f5e0b10-c8cf-450c-bfd3-bcb0528ec330,removal,Enchantment — Aura
Pack's Disdain,Choose a creature type. Target creature gets -1/-1 until end of turn for each permanent of the chosen type you control.,8b5659bd-a272-44cd-811f-9feec7d9825f,removal,Instant
Palace Jailer,"When Palace Jailer enters the battlefield, you become the monarch.
When Palace Jailer enters the battlefield, exile target creature an opponent controls until an opponent becomes the monarch. (That creature returns under its owner's control.)",180eda7c-fca2-403b-85cd-8ffebaf9f408,removal,Creature — Human Soldier
Paragon of Open Graves,"Other black creatures you control get +1/+1.
{2}{B}, {T}: Another target black creature you control gains deathtouch until end of turn. (Any amount of damage it deals to a creature is enough to destroy it.)",39375b5d-f509-4482-8d34-797dae17d38b,removal,Creature — Skeleton Warrior
Parallax Dementia,"Enchant creature
Fading 1 (This enchantment enters the battlefield with one fade counter on it. At the beginning of your upkeep, remove a fade counter from it. If you can't, sacrifice it.)
Enchanted creature gets +3/+2.
When Parallax Dementia leaves the battlefield, destroy enchanted creature. That creature can't be regenerated.",6ec7a7fb-0bf9-47fa-af2b-5b13b3af3947,removal,Enchantment — Aura
Parallax Tide,"Fading 5 (This enchantment enters the battlefield with five fade counters on it. At the beginning of your upkeep, remove a fade counter from it. If you can't, sacrifice it.)
Remove a fade counter from Parallax Tide: Exile target land.
When Parallax Tide leaves the battlefield, each player returns to the battlefield all cards they own exiled with Parallax Tide.",e36a92be-537d-4a63-858a-afaab064fbf7,removal,Enchantment
Parallax Wave,"Fading 5 (This enchantment enters the battlefield with five fade counters on it. At the beginning of your upkeep, remove a fade counter from it. If you can't, sacrifice it.)
Remove a fade counter from Parallax Wave: Exile target creature.
When Parallax Wave leaves the battlefield, each player returns to the battlefield all cards they own exiled with Parallax Wave.",0accfb04-bc8b-4cab-997a-2337ac42db8f,removal,Enchantment
Paralyze,"Enchant creature
When Paralyze enters the battlefield, tap enchanted creature.
Enchanted creature doesn't untap during its controller's untap step.
At the beginning of the upkeep of enchanted creature's controller, that player may pay {4}. If the player does, untap the creature.",e9b4e857-39e5-4a06-89ad-3dd94b3f252a,removal,Enchantment — Aura
Paralyzing Grasp,"Enchant creature
Enchanted creature doesn't untap during its controller's untap step.",c1459d75-2bc2-4dae-8c7e-4e759a4dffc9,removal,Enchantment — Aura
Parasitic Implant,"Enchant creature
At the beginning of your upkeep, enchanted creature's controller sacrifices it and you create a 1/1 colorless Myr artifact creature token.",4fc0f58c-5f7f-4a32-8f14-cae696672beb,removal,Enchantment — Aura
Parting Thoughts,"Destroy target creature. You draw X cards and you lose X life, where X is the number of counters on that creature.",57fd34d3-3e30-4467-bace-3f4dc2a85c80,removal,Sorcery
Path of Peace,Destroy target creature. Its owner gains 4 life.,b7593cf8-4dcb-473b-a2ef-180fffe66738,removal,Sorcery
Path to Exile,"Exile target creature. Its controller may search their library for a basic land card, put that card onto the battlefield tapped, then shuffle their library.",d683d985-9888-4d21-8b5f-69e69ce4a03b,removal,Instant
Peace and Quiet,Destroy two target enchantments.,0517f736-e6eb-4fdb-8288-e0c8a9a44379,removal,Instant
Peak Eruption,Destroy target Mountain. Peak Eruption deals 3 damage to that land's controller.,f34eb8a9-63af-452b-8957-8587bf4fd956,removal,Sorcery
Peel from Reality,Return target creature you control and target creature you don't control to their owners' hands.,65dc05d0-f885-4fe5-9a23-d6b75185c179,removal,Instant
Pendrell Flux,"Enchant creature
Enchanted creature has ""At the beginning of your upkeep, sacrifice this creature unless you pay its mana cost.""",fe902db2-3b1d-4266-88eb-307f878fc317,removal,Enchantment — Aura
Pentarch Paladin,"Flanking (Whenever a creature without flanking blocks this creature, the blocking creature gets -1/-1 until end of turn.)
As Pentarch Paladin enters the battlefield, choose a color.
{W}{W}, {T}: Destroy target permanent of the chosen color.",f27f91fb-009a-4cbd-858e-15db88b65b9f,removal,Creature — Human Knight
Peppersmoke,"Target creature gets -1/-1 until end of turn. If you control a Faerie, draw a card.",071733a2-6dc6-4b6e-8ed6-a130d14657fd,removal,Tribal Instant — Faerie
Perilous Predicament,Each opponent sacrifices an artifact creature and a nonartifact creature.,169728d6-7820-4a6d-a815-70714ad3e887,removal,Instant
Petradon,"When Petradon enters the battlefield, exile two target lands.
When Petradon leaves the battlefield, return the exiled cards to the battlefield under their owners' control.
{R}: Petradon gets +1/+0 until end of turn.",ef2e711f-7362-4eed-8f91-f3d653e7f434,removal,Creature — Nightmare Beast
Petravark,"When Petravark enters the battlefield, exile target land.
When Petravark leaves the battlefield, return the exiled card to the battlefield under its owner's control.",aedf022c-6065-42cb-85bb-225ae1650a5c,removal,Creature — Nightmare Beast
Phage the Untouchable,"When Phage the Untouchable enters the battlefield, if you didn't cast it from your hand, you lose the game.
Whenever Phage deals combat damage to a creature, destroy that creature. It can't be regenerated.
Whenever Phage deals combat damage to a player, that player loses the game.",09d01406-b529-4c3b-900e-d8c889a4c400,removal,Legendary Creature — Avatar Minion
Phthisis,"Destroy target creature. Its controller loses life equal to its power plus its toughness.
Suspend 5—{1}{B} (Rather than cast this card from your hand, you may pay {1}{B} and exile it with five time counters on it. At the beginning of your upkeep, remove a time counter. When the last is removed, cast it without paying its mana cost.)",530f088d-bfa1-4410-b1aa-ade8abdb2b7a,removal,Sorcery
Phyrexian Bloodstock,"When Phyrexian Bloodstock leaves the battlefield, destroy target white creature. It can't be regenerated.",dfeaec62-ca77-46dc-8eae-f627a5e1c02a,removal,Creature — Zombie
Phyrexian Boon,"Enchant creature
Enchanted creature gets +2/+1 as long as it's black. Otherwise, it gets -1/-2.",a18e6468-b8a2-4681-b8fa-223ab5f3061a,removal,Enchantment — Aura
Phyrexian Debaser,"Flying
{T}, Sacrifice Phyrexian Debaser: Target creature gets -2/-2 until end of turn.",554de904-086c-428c-9f32-b0b2498a6fd5,removal,Creature — Carrier
Phyrexian Defiler,"{T}, Sacrifice Phyrexian Defiler: Target creature gets -3/-3 until end of turn.",bed87e57-d410-478f-ae9d-2d7d00831e5e,removal,Creature — Carrier
Phyrexian Ingester,"Imprint — When Phyrexian Ingester enters the battlefield, you may exile target nontoken creature.
Phyrexian Ingester gets +X/+Y, where X is the exiled creature card's power and Y is its toughness.",ec9c35f2-6a68-45e7-a86e-9f5af9fe28fc,removal,Creature — Beast
Phyrexian Plaguelord,"{T}, Sacrifice Phyrexian Plaguelord: Target creature gets -4/-4 until end of turn.
Sacrifice a creature: Target creature gets -1/-1 until end of turn.",aff9e844-9e03-490b-b44f-10d385738cc6,removal,Creature — Carrier
Phyrexian Purge,"This spell costs 3 life more to cast for each target.
Destroy any number of target creatures.",df032801-fccf-4bff-aa88-d01650b6c81e,removal,Sorcery
Phyrexian Tribute,"As an additional cost to cast this spell, sacrifice two creatures.
Destroy target artifact.",c06b993b-a36a-412a-a732-d678a4179791,removal,Sorcery
Piety Charm,"Choose one —
• Destroy target Aura attached to a creature.
• Target Soldier creature gets +2/+2 until end of turn.
• Creatures you control gain vigilance until end of turn.",3d4ec57a-8541-42ed-9790-7933f96c8adf,removal,Instant
Pillage,Destroy target artifact or land. It can't be regenerated.,0b137853-7cb9-424b-8285-12938991eafb,removal,Sorcery
Pillar of Flame,"Pillar of Flame deals 2 damage to any target. If a creature dealt damage this way would die this turn, exile it instead.",468cfc88-a493-44dc-9d0a-63d9cc89c114,removal,Sorcery
Pillar of Light,Exile target creature with toughness 4 or greater.,643c1ee3-a653-4a6c-b705-a61f3b67e38c,removal,Instant
Pillory of the Sleepless,"Enchant creature
Enchanted creature can't attack or block.
Enchanted creature has ""At the beginning of your upkeep, you lose 1 life.""",74776491-29c3-46e6-989b-cf9a00bbfcef,removal,Enchantment — Aura
Pinion Feast,Destroy target creature with flying. Bolster 2. (Choose a creature with the least toughness among creatures you control and put two +1/+1 counters on it.),9812bdf9-98b6-4b4d-8381-a7bbb25069d8,removal,Instant
Pin to the Earth,"Enchant creature
Enchanted creature gets -6/-0.",605624ee-b7ca-4728-993f-e13b18cc57f3,removal,Enchantment — Aura
Piracy Charm,"Choose one —
• Target creature gains islandwalk until end of turn. (It can't be blocked as long as defending player controls an Island.)
• Target creature gets +2/-1 until end of turn.
• Target player discards a card.",dffde884-15bc-4985-90e2-a0888ef4cb48,removal,Instant
Pir's Whim,"For each player, choose friend or foe. Each friend searches their library for a land card, puts it onto the battlefield tapped, then shuffles their library. Each foe sacrifices an artifact or enchantment they control.",01c2b66a-66d1-4282-a078-b1fa737c57f4,removal,Sorcery
Pistus Strike,Destroy target creature with flying. Its controller gets a poison counter.,138f9daa-19d4-4290-94a7-09e00dbcebb0,removal,Instant
Pitfall Trap,"If exactly one creature is attacking, you may pay {W} rather than pay this spell's mana cost.
Destroy target attacking creature without flying.",26e75f0b-3a02-4989-8429-b6276e98ac33,removal,Instant — Trap
Pit Fight,Target creature you control fights another target creature. (Each deals damage equal to its power to the other.),ef4b0ced-70a1-41d8-9aed-34e75f979c5f,removal,Instant
Pith Driller,"({B/P} can be paid with either {B} or 2 life.)
When Pith Driller enters the battlefield, put a -1/-1 counter on target creature.",62d293a6-4fad-4aaa-af87-62d705e243ca,removal,Artifact Creature — Horror
Pit Trap,"{2}, {T}, Sacrifice Pit Trap: Destroy target attacking creature without flying. It can't be regenerated.",671c4677-fe0a-4bda-9674-f4dcd9069bfd,removal,Artifact
Plaguebearer,{X}{X}{B}: Destroy target nonblack creature with converted mana cost X.,f8cc1dc4-740d-4c5b-ac51-7355730a6595,removal,Creature — Zombie
Plaguecrafter,"When Plaguecrafter enters the battlefield, each player sacrifices a creature or planeswalker. Each player who can't discards a card.",2e3ee458-fa3f-4452-ab95-5a7fb5a0483b,removal,Creature — Human Shaman
Plagued Rusalka,"{B}, Sacrifice a creature: Target creature gets -1/-1 until end of turn.",d6912f52-e478-4cc6-a34c-67e372abc4fa,removal,Creature — Spirit
Plague Spores,Destroy target nonblack creature and target land. They can't be regenerated.,f79f5cb7-d238-41ab-85f0-eb21cc6bf561,removal,Sorcery
Plumes of Peace,"Enchant creature
Enchanted creature doesn't untap during its controller's untap step.
Forecast — {W}{U}, Reveal Plumes of Peace from your hand: Tap target creature. (Activate this ability only during your upkeep and only once each turn.)",5526dcae-90e8-4102-808d-56c89027898c,removal,Enchantment — Aura
Plummet,Destroy target creature with flying.,85bde6ac-3dd4-4946-8b57-24f57e3eae2b,removal,Instant
Plunder,"Destroy target artifact or land.
Suspend 4—{1}{R} (Rather than cast this card from your hand, you may pay {1}{R} and exile it with four time counters on it. At the beginning of your upkeep, remove a time counter. When the last is removed, cast it without paying its mana cost.)",8a515f67-f868-494b-8bd7-de63fe14477b,removal,Sorcery
Poison Arrow,Destroy target nonblack creature. You gain 3 life.,6d920c99-8a85-4b20-97c2-7aa0c79ae70a,removal,Sorcery
Poison the Well,Destroy target land. Poison the Well deals 2 damage to that land's controller.,a47ae84f-dcbc-4a60-9266-c1a02f92e7f8,removal,Sorcery
Polis Crusher,"Trample, protection from enchantments
{4}{R}{G}: Monstrosity 3. (If this creature isn't monstrous, put three +1/+1 counters on it and it becomes monstrous.)
Whenever Polis Crusher deals combat damage to a player, if Polis Crusher is monstrous, destroy target enchantment that player controls.",ffd6f55f-2592-46a5-94da-cb9424783004,removal,Creature — Cyclops
Polluted Dead,"When Polluted Dead dies, destroy target land.",5ffca600-5286-4086-9efe-c398babeb6ae,removal,Creature — Zombie
"Polukranos, World Eater","{X}{X}{G}: Monstrosity X. (If this creature isn't monstrous, put X +1/+1 counters on it and it becomes monstrous.)
When Polukranos, World Eater becomes monstrous, it deals X damage divided as you choose among any number of target creatures your opponents control. Each of those creatures deals damage equal to its power to Polukranos.",ecbf5560-853a-43a9-bf70-ac8d403b0ce8,removal,Legendary Creature — Hydra
Polymorph,"Destroy target creature. It can't be regenerated. Its controller reveals cards from the top of their library until they reveal a creature card. The player puts that card onto the battlefield, then shuffles all other cards revealed this way into their library.",039115f2-6322-4674-bc64-f21883ed375a,removal,Sorcery
